simulation_id,team,points
5,Villa Duchesne,119
5,Visitation Acade,154
5,Visitation Academy,28
5,Washington,0
5,Webb City,8
5,Webster Groves,150
5,West Plains,10
6,Barstow,0
6,Bolivar,0
6,Capital City,8
6,Carl Junction,22
6,Central (Cape Girardeau),0
6,Central (Springf,6
6,Central (Springfield),17
6,Central Cape Gir,63
6,Clayton,60
6,Father Tolton,140
6,Ft. Zumwalt East,12
6,Ft. Zumwalt Sout,19
6,Glendale,39
6,Grain Valley,70
6,Grandview,1
6,Greenwood,12
6,Hannibal,7
6,Holt,0
6,Incarnate Word A,11
6,Jefferson City,0
6,John Burroughs,106
6,Kearney,28
6,Ladue Horton Wat,43
6,Ladue Horton Watkins,5
6,Lebanon,53
6,Lincoln College,9
6,Lincoln College Prep,12
6,Logan-Rogersvill,0
6,Louisiana,49
6,Lutheran South,31
6,Lutheran St. Cha,2
6,Lutheran St. Charles,0
6,Mehlville,37
6,Monett,33
6,Nerinx Hall,60
6,Nevada,13
6,North Point,0
6,Notre Dame Cape,0
6,Notre Dame de Si,48
6,Notre Dame de Sion,42
6,Parkway Central,233
6,Parkway North,14
6,Parkway West,110
6,Platte County,0
6,Poplar Bluff,0
6,Principia,20
6,Rockwood Summit,75
6,STEAM Academy,0
6,Savannah,0
6,Smith-Cotton,0
6,Smithville,0
6,St. Charles West,0
6,St. Dominic,0
6,St. Michael the,85
6,St. Pius X Kansa,0
6,St. Teresa's Aca,135
6,St. Teresa's Academy,23
6,Summit Christian,0
6,Timberland,26
6,Ursuline Academy,68
6,Villa Duchesne,133
6,Visitation Acade,144
6,Visitation Academy,29
6,Washington,0
6,Webb City,2
6,Webster Groves,155
6,West Plains,15
7,Barstow,0
7,Bolivar,0
7,Capital City,11
7,Carl Junction,16
7,Central (Cape Girardeau),0
7,Central (Springf,4
7,Central (Springfield),17
7,Central Cape Gir,61
7,Clayton,70
7,Father Tolton,132
7,Ft. Zumwalt East,27
7,Ft. Zumwalt Sout,18
7,Glendale,41
7,Grain Valley,84
7,Grandview,0
7,Greenwood,1
7,Hannibal,7
7,Holt,0
7,Incarnate Word A,3
7,Jefferson City,0
7,John Burroughs,97
7,Kearney,31
7,Ladue Horton Wat,44
7,Ladue Horton Watkins,3
7,Lebanon,42
7,Lincoln College,2
7,Lincoln College Prep,17
7,Logan-Rogersvill,0
7,Louisiana,70
7,Lutheran South,36
7,Lutheran St. Cha,0
7,Lutheran St. Charles,4
7,Mehlville,37
7,Monett,15
7,Nerinx Hall,75
7,Nevada,14
7,North Point,0
